Row Labels,Sum of Employment_Rate_rP_gP_pall,Sum of Household_Income_rP_gP_pall,Sum of Individual_Income_Excluding_Spouse_rP_gP_pall
Calico Rock,0.6876,35775,22029
5065960300,0.6876,35775,22029
Cave City,0.7148,32509,20834
5135470400,0.7148,32509,20834
Flippin,0.7662,37334,22623
5089960202,0.7662,37334,22623
Gassville,0.7582,36770,24071
5005950900,0.7582,36770,24071
Harrison,0.767,38129,24473
5009790200,0.767,38129,24473
Horseshoe Bend,0.7682,34494,22513
5065960100,0.7682,34494,22513
Leslie,0.6741,35600,20984
5129970300,0.6741,35600,20984
Mammoth Spring,0.7397,35919,22560
5049550100,0.7397,35919,22560
Marshall,0.7086,35554,21886
5129970200,0.7086,35554,21886
Melbourne,1.4081,72972,45045
5065960200,0.6937,35640,23565
5065960400,0.7144,37332,21480
Mountain Home,5.4096,288193,187761
5005950100,0.7734,43218,27792
5005950200,0.8067,44273,28796
Hometown,0.782,43156,28414
5005950400,0.752,41752,25814
5005950600,0.7569,39659,26366
5005950700,0.7889,37090,25379
5005950800,0.7497,39045,25200
Mountain View,0.7461,40481,24816
5137950202,0.7461,40481,24816
Norfork,0.7625,36032,23843
5005950500,0.7625,36032,23843
Saint Joe,0.6729,38579,24640
5129970100,0.6729,38579,24640
Stone County,0.6971,36503,22378
5137950100,0.6971,36503,22378
Viola,0.7283,36360,23743
5049550200,0.7283,36360,23743
Yellville,2.1817,104462,68865
5089960100,0.7191,37084,23560
5089960201,0.7501,34445,23840
5089960300,0.7125,32933,21465
Grand Total,19.1907,975666,623064
